pdf_url,question,page
http://downloads.openoil.net/contracts_eng-only%2Faf%2F1_5pages_af_AmuDarya_20111211_PSC_CNPC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faf%2F1_5pages_af_Kashkari-Block_Bazarkhami-Block_Zamarudsay-Block_dd20111226_PSC_CNPCIW.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fal%2F1_5pages_al_Block-2-3_dd20081107_PSC_DWM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fal%2F1_5pages_al_Block-4-5_Dumre_dd20100624_PSC_Sky-Petroleum.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fal%2F1_5pages_al_Block-A-B_dd20070731_PSC_DWM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fal%2F1_5pages_al_Block-D-E_dd20070731_PSC_DWM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fan%2F1_5pages_an_Block-20_11_dd20111220_PSC_CIE_Sonangol_BP.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fan%2F1_5pages_an_Block-21_09_dd20100224_Risk-Service_CIE_Sonangol-P%26P_Nazaki.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fan%2F1_5pages_an_Block-9_09_dd20100224_Risk-Service_CIE_Sonangol-P%26P_Nazaki.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fau%2F1_5pages_au_Albany_dd19970702_Exploration-Permit_Geopetrol_Amity-Oil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faz%2F1_5pages_az_Azeri_Chirag_Deep-Water-Gunashli_dd19940920_PSC_BP_Lukoil_Statoil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faz%2F1_5pages_az_Bahar_Gum-Deniz_dd20091209_PSC_Bahar.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faz%2F1_5pages_az_Shafag-Asiman-Offshore_dd20101007_PSC_BP.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faz%2F1_5pages_az_Shaz-Deniz_dd19960604_PSC_BP_Elf_Lukoil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faz%2F1_5pages_az_Three-blocks-of-South-West-Gobustan_dd_PSC_Commonwealth_Union-Texas.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Faz%2F1_5pages_az_Zykh-Govsany-Block_dd20061103_PSC_Russneft.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbj%2F1_5pages_bj_Deep-Offshore-Block-4_dd19970201_Exploration-Exploitation_Addax_Abacan.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbj%2F1_5pages_bj_Offshore-Block-1_Seme_dd19970201_Exploration-Exploitation_Addax_Abacan.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbj%2F1_5pages_bj_Offshore-Block-4_dd19970201_Exploration-Exploitation_Addax_Abacan.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbn%2F1_5pages_bn_Block-L_dd20060828_PSC_Loon_QAF.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-1_Block-2_Block-3_dd20000403_Exp-Dov-Prod-Agreement_RSM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-1_dd20031122_PSA_West-Bay.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-10_Block-15_Block-16_dd20060602_PSA_Spartan-Petroleum.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-106_Block-107_Block-127_dd20090114_PSA_OPIC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-11_Block-12_Block-18_dd20080129_PSA_Perenco-Belize.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-12_dd20040525_PSA_Island-Oil-Ltd.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-138_Block-139_Block-157_dd20100325_PSA_Northern-Spirit-Resources.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-141_Block-142_Block-143_dd20090318_PSA_BCH-International.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-19_dd20010122_PSA_USCapital-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-197_Block-198_Block-199_dd20090318_PSA_ZMT-International.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-200_Block-201_Block-202_dd20080129_PSA_Perenco-Belize.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-246_Block-247_Block-248_dd20080109_PSA_Centam-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-273_Block-274_Block-290_dd20071012_PSA_Miles-Tropical-Ltd.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-29_Block-30_Block-31_dd20071012_PSA_Princess-Petroleum.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-295_Block-296_Block-297_dd20071012_PSA_Providence-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-309_Block-325_Block-338_dd20071012_PSA_SOL-Oil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-359_Block-360_Block-373_dd20071012_PSA_PetroBelize.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-53_Block-54_Block-55_dd20071021_PSA_Blue-Creek.pdf,Find the contractors in this document.,1
